Date,rf_rate
10/29/2018,0.000255556
10/30/2018,0.000254444
10/31/2018,0.000254444
11/1/2018,0.000252222
11/2/2018,0.000253333
11/5/2018,0.000257778
11/6/2018,0.000256667
11/7/2018,0.000257778
11/8/2018,0.000255556
11/9/2018,0.000256667
11/13/2018,0.00026
11/14/2018,0.000258889
11/15/2018,0.000257778
11/16/2018,0.000256667
11/19/2018,0.00026
11/20/2018,0.00026
11/21/2018,0.000262222
11/23/2018,0.000262222
11/26/2018,0.000263333
11/27/2018,0.000262222
11/28/2018,0.000261111
11/29/2018,0.000257778
11/30/2018,0.000257778
12/3/2018,0.00026
12/4/2018,0.000264444
12/6/2018,0.000262222
12/7/2018,0.000261111
12/10/2018,0.000263333
12/11/2018,0.000263333
12/12/2018,0.000265556
12/13/2018,0.000264444
12/14/2018,0.000263333
12/17/2018,0.000262222
12/18/2018,0.00026
12/19/2018,0.000261111
12/20/2018,0.00026
12/21/2018,0.00026
12/24/2018,0.000267778
12/26/2018,0.000265556
12/27/2018,0.000262222
12/28/2018,0.000261111
12/31/2018,0.000266667
1/2/2019,0.000263333
1/3/2019,0.000262222
1/4/2019,0.000263333
1/7/2019,0.000267778
1/8/2019,0.000267778
1/9/2019,0.000266667
1/10/2019,0.000264444
1/11/2019,0.000264444
1/14/2019,0.000266667
1/15/2019,0.000266667
1/16/2019,0.000264444
1/17/2019,0.000263333
1/18/2019,0.000262222
1/22/2019,0.000264444
1/23/2019,0.000262222
1/24/2019,0.000257778
1/25/2019,0.00026
1/28/2019,0.000263333
1/29/2019,0.000263333
1/30/2019,0.000263333
1/31/2019,0.000262222
2/1/2019,0.000261111
2/4/2019,0.000263333
2/5/2019,0.000263333
2/6/2019,0.000263333
2/7/2019,0.000263333
2/8/2019,0.000264444
2/11/2019,0.000266667
2/12/2019,0.000264444
2/13/2019,0.000265556
2/14/2019,0.000264444
2/15/2019,0.000264444
2/19/2019,0.000267778
2/20/2019,0.000266667
2/21/2019,0.000266667
2/22/2019,0.000267778
2/25/2019,0.000268889
2/26/2019,0.000266667
2/27/2019,0.000266667
2/28/2019,0.000266667
3/1/2019,0.000265556
3/4/2019,0.000267778
3/5/2019,0.000267778
3/6/2019,0.000267778
3/7/2019,0.000266667
3/8/2019,0.000267778
3/11/2019,0.000267778
3/12/2019,0.000267778
3/13/2019,0.000266667
3/14/2019,0.000266667
3/15/2019,0.000266667
3/18/2019,0.000265556
3/19/2019,0.000267778
3/20/2019,0.000268889
3/21/2019,0.00027
3/22/2019,0.000267778
3/25/2019,0.000267778
3/26/2019,0.000267778
3/27/2019,0.000265556
3/28/2019,0.000264444
3/29/2019,0.000261111
4/1/2019,0.000264444
4/2/2019,0.000263333
4/3/2019,0.000265556
4/4/2019,0.000265556
4/5/2019,0.000265556
4/8/2019,0.000264444
4/9/2019,0.000263333
4/10/2019,0.000264444
4/11/2019,0.000264444
4/12/2019,0.000265556
4/15/2019,0.000264444
4/16/2019,0.000264444
4/17/2019,0.000265556
